ExtractDate,Id,Name,Contact,Venue,Cost,Eligibility,CoordinateReferenceSystem,GeoX,GeoY
05/06/2014,kR3QOqhKvS8,Bradford Pre-school Nursery Parent and Toddler Group,bradfordpsn@aol.com,"Bradford and Cookbury Village Hall
Bradford
HOLSWORTHY
DEVON
EX22 7AB","£1 per child, 50p for siblings.",up to 3 years ,WGS84,-4.24262,50.82848
05/06/2014,7QNpzgdtbfs,Bradford Primary School,admin@bradford.devon.sch.uk,"Bradford Primary School
Holemoor
Bradford
HOLSWORTHY
DEVON
EX22 7AB",,from 4 years  up to 11 years ,WGS84,-4.24262,50.82848
05/06/2014,FnT4FpAgtJo,Bradley Barton Primary School (Nursery Class),admin@bradley-barton-primary.devon.sch.uk,"Ogwell Mill Road
Bradley Barton
NEWTON ABBOT
DEVON
TQ12 1PR",Early Years Entitlement can be used for 3 and 4 year olds.,from 3 years  up to 5 years ,WGS84,-3.63051,50.53085
05/06/2014,uUY5A6kswFg,Bradley Barton Primary School and Nursery Unit,admin@bradley-barton-primary.devon.sch.uk,"Bradley Barton Primary School and Nursery Unit
Ogwell Mill Road
NEWTON ABBOT
DEVON
TQ12 1PR",,from 4 years  up to 11 years ,WGS84,-3.63051,50.53085
05/06/2014,ukUFEqRv4Wk,Bradninch Bowling Club,daniells14@btinternet.com,"14
High Street
Bradninch
EXETER
DEVON
EX5 4NJ",Contact us for details.,from 10 years  up to 99 years ,WGS84,-3.42261,50.82665
05/06/2014,5-gdkzQgVEA,Bradninch Cricket Club,,"Kensham Park
Bradninch
EXETER
DEVON
EX5 4RD",£2 per session.,from 9 years  up to 15 years ,WGS84,-3.4173,50.82187
05/06/2014,5nhLuE1t09E,Bradninch History Society,"Warwick Knowles
Chairman","St Disen's Church Hall
Church Lane
Brandich
Exeter
Devon
EX5 4PN","Annual membership: £5, £1 (visitors), Children (free)",,WGS84,-3.43038,50.81272
05/06/2014,Q74xs5almLc,Bradninch Life,"Jenny Morbey
Editor
01392 881245
bradninchlife@littlemorland.mail1.co.uk","Little Morland
Bradninch
Exeter
Devon
EX5 4NA",Contact us for details,,WGS84,-3.44239,50.81921
05/06/2014,O96K1LgtM8Q,Bradninch Magazine,"Warwick Knowles
Editor
01392 882042
warwjk@globalnet.co.uk",,Contact us for details.,,WGS84,0,0
05/06/2014,tlWjPMADlqc,Bradninch Surgery (College Surgery Partnership),,"4
Millway Bradninch Devon
EX5 4NL",,,WGS84,-3.42113,50.8261
05/06/2014,C2LIDtIc00o,Bradninch Tennis Club,john@haystonfamily.orangehome.co.uk,"The Recreation Ground
Kensham Avenue
Bradninch
EXETER
DEVON
EX5 4RD","£1 per hour for guests (maximum of 3 visits). A joining fee would then be required.
Contact us for details of membership and junior coaching fees.",from 4 years  up to 80 years ,WGS84,-3.4173,50.82187
05/06/2014,ykDxrEa7dGE,Bradninch Town Council,"Mrs L J Knowles
Town Clerk
01392 881049
btc@warwjk.globalnet.co.uk","Bradninch Town Council
The Guildhall
Bradninch
Exeter
EX5 4NN",,,WGS84,-3.421,50.82778
05/06/2014,gWr8DbfSuE8,Bradworthy Academy,info@bradworthy.devon.sch.uk,"Bradworthy Academy
Mill Road
Bradworthy
HOLSWORTHY
DEVON
EX22 7RT",,from 4 years  up to 11 years ,WGS84,-4.38742,50.90169
05/06/2014,vPI9vKqNDQo,Bradworthy Bygones,Mrs Daphne Nicholls,"Memorial Hall
Bradworthy
Holsworthy
Devon
EX22 7SZ",Contact us for details,,WGS84,-4.3855,50.90125
05/06/2014,ZOLDcuIBWmw,Bradworthy Parish Council,"Pam Brewer
Parish Clerk
01409 241319
brewer319@hotmail.co.uk",,,,WGS84,0,0
05/06/2014,JCeu3x3KnMc,Bradworthy Pre-school,bradworthypreschool@hotmail.co.uk,"Bradworthy Primary Academy
Mill Road
Bradworthy
HOLSWORTHY
Devon
EX22 7RT",Early Years Entitlement can be used for 3 and 4 year olds.  Funded places available for 2 year olds who qualify under the 2gether scheme.,from 2 years  up to 5 years ,WGS84,-4.38742,50.90169
05/06/2014,mUfB1vJAo0Y,Bradworthy Surgery,,"The New Surgery
The Square
Bradworthy
Holsworthy
Devon
EX22 7SY",,,WGS84,-4.38553,50.90168
05/06/2014,07aEUE-739I,Bradworthy Surgery,,"The New Surgery The Square Bradworthy Devon
EX22 7SY",,,WGS84,-4.38553,50.90168
05/06/2014,QjYYkqzkK8Q,Bradworthy Toddler Group,,"The Memorial Hall
The Square
Bradworthy
HOLSWORTHY
DEVON
EX22 7SZ",£1.50 for first child. £2 for 2 or more children.,up to 5 years ,WGS84,-4.3855,50.90125
05/06/2014,Ow2oq5m7nq0,Braemar House,"Miss R M Hill
Owner
01803 666011","38
Seaway Road
Preston
Paignton
Devon
TQ3 2NZ",,,WGS84,-3.55761,50.44616
05/06/2014,wIG13YfaRZA,Brain Injuries Rehabilitation Trust - Water Meadows,"Mr. Mark Robson
Manager","3
Water Meadows
Cullompton
Devon
EX15 1QS",Contact us for details.,,WGS84,-3.39021,50.85123
05/06/2014,yuldpiHJAZw,Brain Injury Rehabilitation Trust - Spindlebury,,"18
Spindlebury Padbrook
Cullompton
Devon
EX15 1SY",,,WGS84,-3.40098,50.84969
05/06/2014,FaJ7plWllDA,Bramble Down,"Mrs Sue Wright
Manager
01803 812844
brambledown@peninsulacarehomes.co.uk","Bramble Down
Woodland Road
Newton Abbot
Devon
TQ12 6DY",,,WGS84,-3.66562,50.50739
05/06/2014,J1AMJiZIx9o,Bramblegate,,"92
Ringwood Road
Walkford
Christchurch
BH23 5RF",,,WGS84,-1.69686,50.74983
05/06/2014,DlmKIxri6WY,Bramblehaies Partnership,,"College Road
Cullompton
Devon
EX15 1TZ",,,WGS84,-3.3905,50.85988
05/06/2014,nVmHqAEnZig,Bramblehaies Surgery (Bramblehaies Partnership),,"College Road Cullompton Devon
EX15 1TZ",,,WGS84,-3.3905,50.85988
05/06/2014,wZxWL9OpHAA,The Brambles,,"Six Acres Close
Roman Road
Taunton
Somerset
TA1 2BD",,,WGS84,-3.08305,51.01901
05/06/2014,VtIAQQE5fYg,Bramcote Dental Practice,,"Woodcock Street
Castle Cary
Somerset
BA7 7BJ",,,WGS84,-2.51503,51.08896
05/06/2014,QUmL98_qp4c,Bramdean School,info@bramdeanschool.com,"47-51, Homefield Road
Heavitree
EXETER
DEVON
EX1 2QR",,from 3 years  up to 5 years ,WGS84,-3.50796,50.72349
05/06/2014,HWKaUvK3QJ0,Bramley Home Care Ltd,,"Unit 36
Wincombe Business Centre
Wincombe Business Park
Shaftesbury
Dorset
SP7 9QJ",,,WGS84,-2.18682,51.01734
05/06/2014,1E-RClzz0CQ,Brampford Area Pre-school,preschool@brampfordspeke.devon.sch.uk,"School House
Brampford Speke
Exeter
Devon
EX5 5HE","Early Years Entitlement can be used for 3 and 4 year olds.

Funded places available for 2 year olds who qualify under the 2gether scheme.

Employer Childcare Vouchers can be accepted.

School dinner can be provided at £2.20 per day, or can bring home packed lunch.",from 2 years  up to 4 years ,WGS84,-3.52413,50.77643
05/06/2014,pquMouDfCzM,Brampford Speke Church of England Primary School,admin@brampfordspeke.devon.sch.uk,"Brampford Speke C of E Primary School
Brampford Speke
EXETER
DEVON
EX5 5HE",,from 4 years  up to 11 years ,WGS84,-3.52413,50.77643
05/06/2014,bpLYJ80-Ih0,Brampford Speke Parish Council,,,,,WGS84,0,0
05/06/2014,uBsZqDqm5Lk,Branching Out - Dementia Garden,"Louise Rushton
Service Co-ordinator
07540 100139
l.rushton@ageukdevon.co.uk","Torrington 1646
Castle Hill
Torrington
Devon
EX38 8AA",Free.,,WGS84,-4.14378,50.95138
05/06/2014,zB48z3oohuc,Brandon House,BrandonHouse29@aol.com,"29
Douglas Avenue
Exmouth
Devon
EX8 2HE",,,WGS84,-3.39163,50.61782
05/06/2014,HhL19sAKkTg,Brannam Medical Centre,,"Brannam Medical Centre
Brannam Square
Kiln Lane
Barnstaple
Devon
EX32 8GP",,,WGS84,-4.05622,51.07758
05/06/2014,WHLzS8AIT3I,Brannam Medical Centre,d-pc.enquiriesbrannammedicalcentre@nhs.net,"Kiln Lane Brannam Square Barnstaple Devon
EX32 8GP",,,WGS84,-4.05622,51.07758
05/06/2014,mSeW6zujOrE,Brannams Petroc,lorr@ndevon.ac.uk,"Brannams Campus
Petroc, Oakwood Close
Roundswell Business Park
BARNSTAPLE
DEVON
EX31 3NJ",Depends on the type of course.,from 14 years  up to 60 years ,WGS84,-4.08076,51.06477
05/06/2014,nl5kki_mUSc,Branscombe Breakfast Club,,"Branscombe C Of E Primary School
Branscombe
SEATON
DEVON
EX12 3DA","Block of 10 sessions can be purchased for £23.50 for use for an individual child, or for a family.",from 3 years  up to 11 years ,WGS84,-3.13933,50.69185
05/06/2014,ZDbjQw92F6Y,Branscombe Church of England Primary School,admin@branscombe.devon.sch.uk,"Branscombe C Of E Primary School
Branscombe
SEATON
DEVON
EX12 3DA",,from 4 years  up to 11 years ,WGS84,-3.13933,50.69185
05/06/2014,wyobdYYEaQQ,Branscombe Parish Council,,,,,WGS84,0,0
05/06/2014,C6ylzcO5U28,Branscombe Pre-school Group,branscombepreschool@hotmail.co.uk,"Branscombe C of E Primary School
Branscombe
Seaton
Devon
EX12 3DA","Early Years Entitlement can be used for 3 and 4 year olds.
Funded places available for 2 year olds who qualify under the 2gether scheme.
Employer Childcare Vouchers can be accepted.",from 2 years  up to 5 years ,WGS84,-3.13933,50.69185
05/06/2014,W202AVqCnGU,Branscombe Project,Mrs. B Farquharson,"Village Hall
Branscombe
Seaton
Devon
EX12 3DB",Free.,,WGS84,-3.13753,50.69274
05/06/2014,ye5IIlec8jg,Branscombe Village Hall,"Mrs Annette Freathy
Booking Secretary
01297 680424
nigelfreathy@hotmail.co.uk","Branscombe Village Hall
Branscombe
Seaton
Devon
EX12 3DB",Contact us for details,,WGS84,-3.13753,50.69274
05/06/2014,DX8RoEcgkDQ,Brass Rubbing Centre - Ilfracombe,"Sue Pullen or Jane Harding
Ilfracombe Museum","Ilfracombe Museum
Wilder Road
Ilfracombe
Devon
EX34 8AF",£1.50 includes instructions.,,WGS84,-4.12361,51.21013
05/06/2014,8Rp5JvSspPE,Bratton Clovelly and District Art Group,"Jack Hayer
Art Group Member
01837 871457","Bratton Clovellly Village Hall
Bratton Clovelly
Devon",Contact us for details.,,WGS84,0,0
05/06/2014,hUJ5jlgq2PA,Bratton Clovelly and District Garden Club,"Wendy Jellyman
Secretary
01837 871680
gardeners@brattonclovelly-gardenclub.co.uk","Bratton Clovelly Parish Hall
Bratton Clovelly
Okehampton
Devon
EX20 4LW",Annual membership: £8. Visitors: £2.,,WGS84,-4.17789,50.70733
05/06/2014,lJe3ITXRa4I,Bratton Clovelly Parish Council,,,,,WGS84,0,0
05/06/2014,C-gwy2Z4N5Q,Bratton Fleming Baby and Toddler Group,preschoolbf@gmail.com,"The Village Hall
Station Road
Bratton Fleming
BARNSTAPLE
DEVON
EX31 4TZ",Under 6 months: £1.,up to 3 years ,WGS84,-3.9404,51.12362
05/06/2014,aMsUWh2v-KM,Bratton Fleming Breakfast and After School Club,admin@bratton-fleming-primary.devon.sch.uk,"Bratton Fleming CP School
Bratton Fleming
BARNSTAPLE
DEVON
EX31 4SB","Toast and drink provided at breakfast.  
After school session: £3.50 to 4.30pm, £7.00 thereafter.",from 4 years  up to 11 years ,WGS84,-3.93961,51.12277
05/06/2014,sXCRpX78VnA,Bratton Fleming Church Youth Groups,pastor@langstonc.f2s.com,"Baptist Church
Beara Lane
Bratton Fleming
BARNSTAPLE
DEVON
EX31 4TG","Bright Sparks: 20p.
Rip-cords: 50p.",from 5 years  up to 16 years ,WGS84,-3.93648,51.12283
05/06/2014,x8yyW1pDf0o,Bratton Fleming Community Primary School,admin@bratton-fleming-primary.devon.sch.uk,"Bratton Fleming CP School
Station Road
Bratton Fleming
BARNSTAPLE
DEVON
EX31 4SB",,from 4 years  up to 11 years ,WGS84,-3.93961,51.12277
05/06/2014,gClc4QF63hY,Bratton Fleming Footpath and Bridleways Group,"Mr. Adrian Faulkner
Treasurer
01598 710780
adiefaulkner@googlemail.com",,Contact us for details.,,WGS84,0,0
05/06/2014,fh0EfQhKnHc,Bratton Fleming Parish Council,,,,,WGS84,0,0
05/06/2014,7hzZa0QkA1s,Bratton Fleming Pre-school C.I.C.,preschoolbf@gmail.com,"Fawn Lodge
Station Road
Bratton Fleming
BARNSTAPLE
Devon
EX31 4SB","Early Years Entitlement can be used for 3 and 4 year olds.  Funded places available for 2 year olds who qualify under the 2gether scheme.
All hours not covered by funding are charged at £3.62 per hour (this includes breakfast club, lunch club and after school care).",from 2 years  up to 5 years ,WGS84,-3.93961,51.12277
05/06/2014,NICqar9C1eo,Bratton Fleming Sports Club,malcolm_prowse@northdevon.gov.uk,"Comer Clarke Memorial Ground
Bratton Fleming
BARNSTAPLE
DEVON
EX31 4RT",Individual membership: £5,from 8 years  up to 20 years ,WGS84,-3.94563,51.1198
05/06/2014,sGtkVxsWNcg,Braund Society - North Devon,"Mr Christopher Braund
Chairman
01237 478735
braund@one-name.org","Bideford
Devon","Membership: £7 UK individual, £9 UK couple, £18 overseas individual and £20 overseas couple.",,WGS84,0,0
05/06/2014,O2rFMZViU9g,Braunton,,"23
Grove Avenue
Yeovil
Somerset
BA20 2BD",,,WGS84,-2.64357,50.94378
05/06/2014,qQccA6OU5JY,Braunton Academy,admin@braunton.devon.sch.uk,"Braunton School and Community College
Barton Lane
BRAUNTON
DEVON
EX33 2BP",,from 11 years  up to 16 years ,WGS84,-4.15694,51.10257
05/06/2014,QS5Bz5iv4iY,Braunton and District Citizens Club,"Jasmine Chesters
Secretary","Vivian Moon Community Centre
1 South Park
Braunton
Devon
EX33 2HT",Membership: £5.,,WGS84,-4.14893,51.10518
05/06/2014,_Pr3SgBT9ew,Braunton and District Museum,"Mrs. Jackie Edwards
Administrator","The Bakehouse Centre
Caen Street
Braunton
Devon
EX33 1AA","Free admission.
Friends System in Place - Subscription £5.00 per annum, £25 Life Member.",,WGS84,-4.16244,51.10863
05/06/2014,aPRbcGux8Rw,Braunton and District Volunteer Bureau,"Jane Fleming
Organiser
01271 815222","3
The Square
Braunton
Devon
EX33 2JB",Petrol is chargeable for transport service.,,WGS84,-4.16111,51.10874
05/06/2014,PkxMCxsFRco,Braunton Army Cadet Detachment,charlycompanyhq@artificer.demon.co.uk,"Cadet Hut
Southmead Primary School, Wrafton Road
BRAUNTON
DEVON
EX33 2BU",,from 12 years  up to 18 years ,WGS84,-4.15543,51.10327
05/06/2014,qaIyq8ihfVY,Braunton Art Group,Mr. J Holloway,"Vivian Moon Centre
Chaloners Road
Braunton
Devon
EX33 2ES",Annual membership: £35,,WGS84,-4.16083,51.11097
05/06/2014,F_U5-5kpZws,Braunton Bowl Skatepark,,"Braunton Car Park
BRAUNTON
DEVON
EX33 1AA",Free.,from 8 years  up to 18 years ,WGS84,-4.16244,51.10863
05/06/2014,a8G2I2SmZTw,Braunton Bowling Club,jchall21@btinternet.com,"Club House and Bowling Green
Chaloners Road
BRAUNTON
DEVON
EX33 2ES",Annual subscription: £80,from 10 years  up to 90 years ,WGS84,-4.16083,51.11097
05/06/2014,SBhpgxxbBjk,Braunton Bridge Club,"Mrs Catherine Davey
Secretary","Christchurch Hall
Ilfracombe Road
Braunton
Devon
EX33 2AJ",Annual membership: £5 (plus £1.50 per week).,,WGS84,-4.16078,51.10589
05/06/2014,ZXwVNg0A_bM,Braunton Care Limited,info@brauntoncare.co.uk,"Unit 1
One The Square
Braunton
Devon
EX33 2JB",,,WGS84,-4.16111,51.10874
05/06/2014,YimutLIgrKg,Braunton Children's Centre,ssccnd@actionforchildren.org.uk,"c/ MyStart Childrens Centre
Marlborough Road
ILFRACOMBE
DEVON
EX34 8JL",,up to 5 years ,WGS84,-4.12252,51.20501
05/06/2014,j-NFSMyzpOs,Braunton Community Website,,,Contact us for details,,WGS84,0,0
05/06/2014,vgDMk-356Q8,Braunton Cricket Club,chairman@brauntoncricketclub.com,"Kelsey Ground
Field Lane
BRAUNTON
DEVON
EX33 2EA",£1 per session.,from 8 years  up to 18 years ,WGS84,-4.1604,51.10978
05/06/2014,o5wUWhp657Y,Braunton Development Centre,devon@playthearsenalway.com,"Braunton Community School
Barton Lane
BRAUNTON
DEVON
EX33 2BP",£48.00,from 8 years  up to 16 years ,WGS84,-4.15694,51.10257
05/06/2014,1_wesNJg3TQ,Braunton Dog Training Club,"Vanessa
Treasurer
01271 865475
brauntondogtrainingclub4u@fsmail.net","Heanton Church Hall
Wrafton Road
Braunton
Devon
EX33 2BT",Annual subscription: £8. 10 week puppy course: £30.,,WGS84,-4.15687,51.10443
05/06/2014,MkHu6poTWIE,"Braunton Express, the Braunton Parish Council Newsletter","Nikki Ward
Parish Clerk
01271 812131
nikki.ward@northdevon.gov.uk",,Contact us for details.,,WGS84,0,0
05/06/2014,WuTClwMlaoQ,Braunton Football Club,steve@brauntonfc.com,"Tweedies Field
Wrafton Road
BRAUNTON
DEVON
EX33 2BU",£2 per session. Must be a club member and have paid a league registration fee.,from 5 years  up to 99 years ,WGS84,-4.15543,51.10327
05/06/2014,HET7SECsioE,Braunton in Bloom,"Marguerite Shapland
Secretary","Braunton
Devon
EX33 2EL",Contact us for details,,WGS84,-4.15923,51.11214
05/06/2014,8qeVNFbrVv0,Braunton Ladies' Handbell Ringers,,"Parish Church
Church Street
Braunton
Devon
EX33 2EL",Contact us for details,,WGS84,-4.15923,51.11214
05/06/2014,xIOUYPa3a2o,Braunton Laundry,"Mr Warren Shipman
Manager and Owner
01271 814448
Mobile: 07870 972731
warren.shipman@tesco.net","Unit 5
Cross Tree Centre
Chaloners Road
Braunton
Devon
EX33 1AA",Contact us for details,,WGS84,-4.16244,51.10863
05/06/2014,kZObIhvpzSQ,Braunton Library,,"Chaloners Road
Braunton
Devon
EX33 2ES",Free,,WGS84,-4.16083,51.11097
05/06/2014,3lbGkos1oEw,Braunton Mobility Centre,"Mr. Tom McCormack
Owner
01271 814577
01271 815566
tom@brauntonmobility.com","3
The Cross Tree Centre
Challoners Road
Braunton
EX33 1AA",Contact us for details,,WGS84,-4.16244,51.10863
05/06/2014,EE4GKiAJz0M,Braunton Needlework Circle,"Mrs. Margaret Gurney
Organiser","Vivian Moon Community Centre
Braunton
Devon
EX33 2HT",£2.50 per afternoon.,,WGS84,-4.14893,51.10518
05/06/2014,5Cmw8uCYV_8,Braunton Out of School Club Ltd,,"Christ Church
East Street
BRAUNTON
Devon
EX33 2EA",Late pick up of fee of £2.75 applies after 6.00pm.,from 4 years  up to 11 years ,WGS84,-4.1604,51.10978
05/06/2014,YF8Us5TMs3U,Braunton Out of School Club Ltd - Holiday,,"Christ Church
East Street
BRAUNTON
Devon
EX33 2EA","Session fees apply for 9.00am - 12.00pm and 1.00pm - 4.00pm.
Additional hours can be booked, ie., lunchtime, earlier starts or later finishes.
Late pick up fee of £2.75 applies after 6.00pm.
Employer Childcare Vouchers can be accepted.",from 4 years  up to 11 years ,WGS84,-4.1604,51.10978
05/06/2014,r4EK1UwGOVQ,Braunton Parish Council,"Tracey Weaver
Parish Clerk
01271 812131
braunton_parish_council@northdevon.gov.uk","Braunton Parish Council
Council Offices
Chaloners Road
Braunton
EX33 2ES",,,WGS84,-4.16083,51.11097
05/06/2014,OCTiYPdipII,Braunton Parish Hall,"Mrs. N Ward
Parish Clerk","Chaloners Road
Braunton
Devon
EX33 2ES",Contact us for details,,WGS84,-4.16083,51.11097
05/06/2014,XceYePF5jb0,Braunton Pathfinder Information Technology Centre,"Debbie Ibbotson
Manager","Vivian Moon Learning Centre
3 The Square
Braunton
Devon
EX33 2JB",,,WGS84,-4.16111,51.10874
05/06/2014,_3qnZJ1Ybec,Braunton Sea Scout Group,gsl.braunton@btinternet.com,"Scout HQ
First Field Lane
BRAUNTON
DEVON
EX33 1ES",£34 per term.,from 6 years  up to 14 years ,WGS84,-4.16695,51.1069
05/06/2014,gUTE6SgwXug,Braunton Target Shooting Club,brauntontsc@googlemail.com,"Braunton Target Shooting Club
Chapel Street
BRAUNTON
DEVON
EX33 1EL",Membership for under 21s: £15 per year,from 11 years  up to 20 years ,WGS84,-4.16463,51.10764
05/06/2014,yekNQx7DD2A,Braunton Tennis Club,Kate Hill,"Braunton Tennis Club
Wrafton Road
BRAUNTON
DEVON
EX33 2BU",,from 12 years  up to 99 years ,WGS84,-4.15543,51.10327
05/06/2014,ZPIuQdg1go8,Braunton Visually Impaired Club,Mrs Shirley Curtis,,Contact us for details,,WGS84,0,0
05/06/2014,wjyyfLRkzdk,Brayford Boomerangs,enquiries@brayford-boomerangs.org,"Brayford Village Hall
Brayford
Barnstaple
Devon
EX32 7QH",Early Years Entitlement can be used for 3 and 4 year olds. Funded places available for 2 year olds who qualify under the 2gether scheme.,from 2 years  up to 5 years ,WGS84,-3.87626,51.09682
05/06/2014,7fdec4ZJnBo,Brayford Gardening Club,"Mrs M Hartnoll
Secretary
01598 710701","Brayford Village Hall
Brayford
Barnstaple
Devon
EX32 7QW",£1 per meeting.,,WGS84,-3.86531,51.10825
05/06/2014,z7PpRnL7s8k,Brayford Parish Council,,,,,WGS84,0,0
05/06/2014,hliLpekaAkA,Brayford Parish Newsletter,"Jan Higgs
Editor
01598 710920
janhiggs@myguide.net",,Contact us for details.,,WGS84,0,0
05/06/2014,2p_Ki1XmnM4,Brayford Play Area,,"Brayford Play Area
Brayford
BARNSTAPLE
DEVON
EX32 7QJ",Free.,from 4 years  up to 12 years ,WGS84,-3.87248,51.09719
05/06/2014,pTUgURtv86w,Brayford Primary School,admin@brayford.devon.sch.uk,"Brayford Primary School
Brayford
BARNSTAPLE
DEVON
EX32 7QJ",,from 4 years  up to 11 years ,WGS84,-3.87248,51.09719
05/06/2014,gTM5mbMu9Ng,Brayford Skittles Club,Raymond White,"Brayford Village Hall
Brayford
Barnstaple
Devon
EX32 7QW",Subscription: £10.00,,WGS84,-3.86531,51.10825
05/06/2014,9666bjrW9p0,Brayford Village Hall,"Jane Jeyes
Secretary
01598 710417 (Bookings: Mr R White)","Winsley
Brayford
Barnstaple
Devon
EX32 7QW",Contact us for details,,WGS84,-3.86531,51.10825
05/06/2014,j5cxq5qfXl8,Brayhams Terrace Play Area,,"Brayhams Terrace Play Area
North Road
OKEHAMPTON
DEVON
EX20 1BL",Free.,from 4 years  up to 12 years ,WGS84,-3.99851,50.74529
05/06/2014,bzR5mR-QiLE,Brays Close Play Area,,"Bray Close Play Area
Bray Close
Burlescombe
TIVERTON
DEVON
EX16 7JL",Free.,from 4 years  up to 12 years ,WGS84,-3.32455,50.94444
05/06/2014,fAZMIaua7t0,Brazilian Soccer Schools at Braunton Community College,d.bell@icfds.com,"Braunton Academy
Barton Lane
BRAUNTON
DEVON
EX33 2BP",£4 per session or £16 per month.,from 8 years  up to 12 years ,WGS84,-4.15694,51.10257
05/06/2014,3Kgrh6Rf9xA,"Brazilian Soccer Schools at Caen Community Primary School, Braunton",d.bell@icfds.com,"Caen Commmunity Primary School
Caen Street
BRAUNTON
DEVON
EX33 2LA",£4 per session or £16 per month.,from 5 years  up to 7 years ,WGS84,-4.1594,51.10907
05/06/2014,1uwzXQtIhz8,Brazilian Soccer Schools at Orchard Vale School,d.bell@icfds.com,"Orchard Vale Community School
Westacott Road
Whiddon Valley
BARNSTAPLE
DEVON
EX32 8QY",£4 per session or £16 per month.,from 5 years  up to 10 years ,WGS84,-4.02376,51.07749
05/06/2014,J1adMxXrGBI,"Brazilian Soccer Schools at St Michael's School, Tawstock",d.bell@icfds.com,"St Michael's School
Tawstock Court
Tawstock
BARNSTAPLE
DEVON
EX31 3HY",£4 per session or £16 per month.,from 5 years  up to 12 years ,WGS84,-4.05875,51.05042
05/06/2014,lJDkgzEUhD8,Brazilian Soccer Schools North and Mid Devon,d.bell@icfds.com,,£4 per session or £16 per month.,from 5 years  up to 16 years ,WGS84,0,0
05/06/2014,6GnT1X2hL9M,Breakaway South West Counselling,"Kathy Kelly
Practioner
01822 832082
07884 076949
kathy.kelly@live.co.uk","Abbeymeade Natural Health Centre
Plymouth Road
Tavistock
Devon
PL19 8AU",£40 per session. £50 couples.,from 18 years  up to 99 years ,WGS84,-4.14605,50.54833
05/06/2014,A7YhgxwuU98,The Breakfast Club @ Pilton Bluecoat School,,"Pilton Bluecoat School
Abbey Road
Pilton
BARNSTAPLE
DEVON
EX31 1JU","Discount for siblings.
Discretionary discounts may be available for children eligible for free school meals - please discuss.",from 4 years  up to 11 years ,WGS84,-4.06423,51.0864
05/06/2014,Oq0znyh1R9I,Breaking the Barrier,mike@lifeworks-uk.org,"Lifeworks
Blacklers, Park Road
Dartington Hall
TOTNES
DEVON
TQ9 6EQ",Free. £20 returnable deposit,from 8 years  up to 20 years ,WGS84,-3.6893,50.45425
05/06/2014,sfSsG6eLXdY,Breakthrough Transformation Trust,bttrust@btinternet.com,"Long Barn
School Farm, Dartington Hall Estate
Dartington
TOTNES
DEVON
TQ9 6EB",,up to 99 years ,WGS84,-3.70396,50.44853
05/06/2014,DVCShIg_Hrs,Breast Friends at Culm Valley Children's Centre,culm.valley@actionforchildren.org.uk,"Culm Valley Children's Centre
St Andrews Estate
CULLOMPTON
DEVON
EX15 1HU",Free. Donations are gratefully received.,,WGS84,-3.39556,50.85806
05/06/2014,BtWr-cDL6UA,Breast Friends at Uffculme,culm.valley@actionforchildren.org.uk,"Uffculme United Reformed Church
Commercial Road
Uffculme
CULLOMPTON
DEVON
EX15 3EB",Free. Donations are gratefully received.,,WGS84,-3.33072,50.90477
05/06/2014,bcVfhJGUiEw,Breast Pump Loan at Flying Start Children's Centre,flyingstart@eci.org.uk,"Flying Start Children's Centre
Dix's Field
EXETER
DEVON
EX1 1QA","Free loan of electric breast pump and sale of sterile packs  for use with the pump (£10 single, £20 double).",up to 1 years ,WGS84,-3.52437,50.72397
05/06/2014,rfgbgcmmYOc,Breastfeeding Cafe at Flying Start Children's Centre,flyingstart@eci.org.uk,"Flying Start Children's Centre
Dix's Field
EXETER
DEVON
EX1 1JJ",Free.,up to 1 years ,WGS84,-3.52513,50.72473
05/06/2014,OT2L0tBTPo4,Breastfeeding Clinic at Two Moors Children's Centre,tiverton@actionforchildren.org.uk,"Two Moors Children's Centre
Cowleymoor Road
TIVERTON
DEVON
EX16 6HH",Free.,up to 4 years 11 months ,WGS84,-3.47781,50.90999
05/06/2014,RsIpUqcKUr0,Breastfeeding Drop-in Clinic at St Thomas Community Hall,admin@westexe.childrencentre.org,"St Thomas Community Hall
Cowick Street
St Thomas
EXETER
DEVON
EX4 1AL",Free. Voluntary contribution.,up to 5 years ,WGS84,-3.54007,50.71686
05/06/2014,Rahj9R6ss1w,Breastfeeding Group at Bideford Bay Children's Centre,surestart.bideford@actionforchildren.org.uk,"Bideford Bay Children's Centre
Victoria Park
BIDEFORD
DEVON
EX39 2QS",Free,up to 4 years 11 months ,WGS84,-4.20398,51.02685
05/06/2014,7ax2e2JYw7o,Breastfeeding Group at Bluecoat Children's Centre,bluecoatchildrenscentre-mailbox@devon.gov.uk,"Bluecoat Children's Centre
Borough Road
TORRINGTON
DEVON
EX38 7NU",Free.,up to 1 years 6 months ,WGS84,-4.13649,50.95198
05/06/2014,QNdcAe2jDbk,Breastfeeding Group at Braunton Evangelical Church,ssccnd@actionforchildren.org.uk,"Evangelical Church
South Street
BRAUNTON
DEVON
EX33 2AA",Free.,up to 1 years ,WGS84,-4.16163,51.10703
05/06/2014,_mMI-TIMcMw,Breastfeeding Group at Moors Edge Children's Centre,admin@moorsedgechildrenscentre.org.uk,"Moors Edge Children's Centre
Musket Road
Heathfield
NEWTON ABBOT
DEVON
TQ12 6SB",Free. Voluntary contribution.,up to 1 years ,WGS84,-3.65539,50.56887
